3bkNjnH7,0,0,1
3bkNjnH7,1,3479,2
FBu1Fu03,0,0,1
FBu1Fu03,1,773,2
FBu1Fu03,2,1183,2
FBu1Fu03,3,1841,2
FBu1Fu03,4,1917,2
FBu1Fu03,5,2524,2
FBu1Fu03,6,3208,2
MTMuuNkP,0,0,1
MTMuuNkP,1,600,2
MTMuuNkP,2,1079,2
MTMuuNkP,3,1440,2
MTMuuNkP,4,1531,2
MTMuuNkP,5,2059,2
MTMuuNkP,6,3142,2
tbJwMpEg,0,0,1
tbJwMpEg,1,657,2
tbJwMpEg,2,1147,2
tbJwMpEg,3,1878,2
tbJwMpEg,4,1967,2
tbJwMpEg,5,2737,2
tbJwMpEg,6,3236,2
ieaWRkU3,0,0,1
ieaWRkU3,1,744,2
ieaWRkU3,2,1186,2
ieaWRkU3,3,2080,2
ieaWRkU3,4,2149,2
ieaWRkU3,5,2555,2
ieaWRkU3,6,3205,2
uCzmog8l,0,0,1
uCzmog8l,1,752,2
uCzmog8l,2,1153,2
uCzmog8l,3,1648,2
uCzmog8l,4,1802,2
uCzmog8l,5,2458,2
uCzmog8l,6,3160,2
EImJRWnq,0,0,1
EImJRWnq,1,788,2
EImJRWnq,2,1181,2
EImJRWnq,3,1932,2
EImJRWnq,4,2024,2
EImJRWnq,5,2343,2
EImJRWnq,6,3204,2
gGFw7FYd,0,0,1
gGFw7FYd,1,553,2
gGFw7FYd,2,1039,2
gGFw7FYd,3,1860,2
gGFw7FYd,4,1966,2
gGFw7FYd,5,2382,2
gGFw7FYd,6,3175,2
jWfzrLxY,0,0,1
jWfzrLxY,1,769,2
jWfzrLxY,2,1096,2
jWfzrLxY,3,1855,2
jWfzrLxY,4,1950,2
jWfzrLxY,5,2663,2
jWfzrLxY,6,3236,2
yOS57rqG,0,0,1
yOS57rqG,1,699,2
yOS57rqG,2,1107,2
yOS57rqG,3,1851,2
yOS57rqG,4,1951,2
yOS57rqG,5,2787,2
yOS57rqG,6,3174,2
dE6K3MUL,0,0,1
dE6K3MUL,1,816,2
dE6K3MUL,2,1186,2
dE6K3MUL,3,2100,2
dE6K3MUL,4,2185,2
dE6K3MUL,5,2570,2
dE6K3MUL,6,3206,2
2ne0hYWm,0,0,1
2ne0hYWm,1,719,2
2ne0hYWm,2,1162,2
2ne0hYWm,3,2048,2
2ne0hYWm,4,2135,2
2ne0hYWm,5,2637,2
2ne0hYWm,6,3207,2
TPldzflW,0,0,1
TPldzflW,1,660,2
TPldzflW,2,1160,2
TPldzflW,3,1881,2
TPldzflW,4,1985,2
TPldzflW,5,2751,2
TPldzflW,6,3207,2
m7WQzuR6,0,0,1
m7WQzuR6,1,605,2
m7WQzuR6,2,1044,2
m7WQzuR6,3,1975,2
m7WQzuR6,4,2207,2
m7WQzuR6,5,2658,2
m7WQzuR6,6,3087,2
skKcIcHy,0,0,1
skKcIcHy,1,672,2
skKcIcHy,2,1193,2
skKcIcHy,3,2218,2
skKcIcHy,4,2304,2
skKcIcHy,5,2734,2
skKcIcHy,6,3145,2
uIFYrNyg,0,0,1
uIFYrNyg,1,751,2
uIFYrNyg,2,1306,2
uIFYrNyg,3,2345,2
uIFYrNyg,4,2427,2
uIFYrNyg,5,3072,2
uIFYrNyg,6,3204,2
PTuogDoZ,0,0,1
PTuogDoZ,1,863,2
PTuogDoZ,2,1223,2
PTuogDoZ,3,2067,2
PTuogDoZ,4,2164,2
PTuogDoZ,5,2680,2
PTuogDoZ,6,3206,2
sAAiwz7q,0,0,1
sAAiwz7q,1,674,2
sAAiwz7q,2,1227,2
sAAiwz7q,3,1807,2
sAAiwz7q,4,2452,2
sAAiwz7q,5,2529,2
sAAiwz7q,6,3175,2
hOpKu3jL,0,0,1
hOpKu3jL,1,533,2
hOpKu3jL,2,1077,2
hOpKu3jL,3,1653,2
hOpKu3jL,4,2353,2
hOpKu3jL,5,2450,2
hOpKu3jL,6,3205,2
IKusPGfw,0,0,1
IKusPGfw,1,791,2
IKusPGfw,2,1437,2
IKusPGfw,3,1889,2
IKusPGfw,4,2503,2
IKusPGfw,5,2588,2
IKusPGfw,6,3180,2
cIgvO9rG,0,0,1
cIgvO9rG,1,784,2
cIgvO9rG,2,1267,2
cIgvO9rG,3,1710,2
cIgvO9rG,4,2417,2
cIgvO9rG,5,2532,2
cIgvO9rG,6,3205,2
VhURXgsc,0,0,1
VhURXgsc,1,866,2
VhURXgsc,2,1530,2
VhURXgsc,3,2066,2
VhURXgsc,4,2628,2
VhURXgsc,5,2699,2
VhURXgsc,6,3204,2
1qkScbXT,0,0,1
1qkScbXT,1,715,2
1qkScbXT,2,1191,2
1qkScbXT,3,1733,2
1qkScbXT,4,2260,2
1qkScbXT,5,2364,2
1qkScbXT,6,3205,2
b4sanmuY,0,0,1
b4sanmuY,1,677,2
b4sanmuY,2,1229,2
b4sanmuY,3,1739,2
b4sanmuY,4,2364,2
b4sanmuY,5,2519,2
b4sanmuY,6,3207,2
tUuVX3W8,0,0,1
tUuVX3W8,1,811,2
tUuVX3W8,2,1383,2
tUuVX3W8,3,1809,2
tUuVX3W8,4,2500,2
tUuVX3W8,5,2565,2
tUuVX3W8,6,3206,2
y0FXHxf4,0,0,1
y0FXHxf4,1,1052,2
y0FXHxf4,2,1512,2
y0FXHxf4,3,1936,2
y0FXHxf4,4,2465,2
y0FXHxf4,5,2550,2
y0FXHxf4,6,3204,2
10OVX5Oe,0,0,1
10OVX5Oe,1,760,2
10OVX5Oe,2,1354,2
10OVX5Oe,3,1815,2
10OVX5Oe,4,2494,2
10OVX5Oe,5,2593,2
10OVX5Oe,6,3206,2
9fG0GA1t,0,0,1
9fG0GA1t,1,1213,2
9fG0GA1t,2,1598,2
9fG0GA1t,3,2319,2
9fG0GA1t,4,2392,2
9fG0GA1t,5,2682,2
9fG0GA1t,6,3174,2
J9CYkdRS,0,0,1
J9CYkdRS,1,1336,2
J9CYkdRS,2,1671,2
J9CYkdRS,3,2488,2
J9CYkdRS,4,2585,2
J9CYkdRS,5,3172,2
LK7ewksl,0,0,1
LK7ewksl,1,1243,2
LK7ewksl,2,1759,2
LK7ewksl,3,2190,2
LK7ewksl,4,2274,2
LK7ewksl,5,2566,2
LK7ewksl,6,3172,2
j3lPeJbZ,0,0,1
j3lPeJbZ,1,914,2
j3lPeJbZ,2,1782,2
j3lPeJbZ,3,2047,2
j3lPeJbZ,4,2192,2
j3lPeJbZ,5,3022,2
j3lPeJbZ,6,3175,2
6V37zMIg,0,0,1
6V37zMIg,1,1082,2
6V37zMIg,2,1520,2
6V37zMIg,3,2442,2
6V37zMIg,4,2536,2
6V37zMIg,5,3176,2
6YyHZ8xO,0,0,1
6YyHZ8xO,1,1213,2
6YyHZ8xO,2,1784,2
6YyHZ8xO,3,2318,2
6YyHZ8xO,4,2391,2
6YyHZ8xO,5,2952,2
